ANO_CINEMATOGRAFICO,QTDE_TIT_DIF_EXIB,PUBLICO,RENDA,DATA_HORA_SESSAO,DIAS_FUNCIONAMENTO,REG_EMPRESA,REGISTRO_COMPLEXO,REGISTRO_SALA,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_NORMALIZADO,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROPORCIONAL,CUMPRIMENTO_LINEAR,CUMPRIMENTO_TRIWEIGHT,REGISTRO_GRUPO
2017,82,42565,344246.9796162776,727,328,1,1,1,1.0,293.0,28.0,28.0,26.465753999999997,26.465753999999997,26.47,0.0,0.10973131484601688,0.0,0.0,2.606724593879864,0.0,0.0,f28e6e67b37347bc9a627135062bc601
2017,51,58067,1000712.6465294529,3978,362,1,1,3,3.0,619.0,42.0,42.0,42.0,42.0,42.0,0.8456632653061225,0.3693144238737143,0.0,0.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,a2b563a39c6f457db4fd832532d3c10b
2017,24,34631,653079.4824532068,602,281,1,1,1,1.0,2000.0,28.0,28.0,28.0,28.0,28.0,0.984375,0.3958376869447495,0.0,0.0,0.875,0.875,0.875,09d40b1412b34085bfe7917605ae7953
2017,42,57109,398310.5844974231,1521,284,1,1,2,2.0,198.0,35.0,35.0,34.999998,34.999998,35.0,0.9477551020408164,0.38865586909524175,0.0,0.0,0.7714285714285715,0.7714285714285715,0.7714285714285715,a3dcc4afdd504f1eb66cdffd7d4b2fdb
2017,43,41759,515715.2975027591,907,360,1,1,1,1.0,250.0,28.0,28.0,28.0,28.0,28.0,0.8007015306122449,0.3611045436777292,0.0,0.0,0.5535714285714286,0.5535714285714286,0.5535714285714286,70d45f8ade1a4e1b960f0134f8a46c92
2017,39,45002,656795.882417438,1567,354,1,1,2,2.0,272.0,35.0,35.0,34.999998,34.999998,35.0,0.9477551020408164,0.38865586909524175,0.0,0.0,1.2285714285714286,0.7714285714285714,0.7714285714285714,48fb667e3a2f47b3a25a9fd362da1d8b
2017,56,84803,1148845.9090407058,1694,359,1,1,2,2.0,449.0,35.0,35.0,34.999998,34.999998,35.0,0.7570918367346938,0.35331593764464125,0.0,0.0,0.5071428571428571,0.5071428571428571,0.5071428571428571,d8db8242e7974b46b9a0a1551ae58e4c
2017,41,27102,293474.022989764,868,362,1,1,1,1.0,216.0,28.0,28.0,28.0,28.0,28.0,0.8966836734693878,0.37885690806494104,0.0,0.0,0.6785714285714286,0.6785714285714286,0.6785714285714286,a1add79efcd34fcea43aed3710aba7d2
2017,7,1806,13417.078918719264,179,71,1,1,1,1.0,122.0,28.0,28.0,20.175342999999998,20.175342999999998,20.18,0.0,0.24197072451914334,0.0,0.0,0.0,0.0,0.0,6608a32774ed4313bb91b852c3b7efdb
2017,27,48369,437258.3027137263,706,259,1,1,1,1.0,220.0,28.0,28.0,28.0,28.0,28.0,0.4375,0.30113743215480443,0.0,0.0,0.25,0.25,0.25,d55ca40391a64689b8789f240d785e7f
2017,45,2821,50819.41270858993,656,280,1,1,1,1.0,50.0,28.0,28.0,28.0,28.0,28.0,0.0,0.15884015441915675,0.0,0.0,2.357142857142857,0.0,0.0,3e0c9db95ad048eb9b1935d18ed3733e
2017,24,396,4115.16615703142,92,76,1,1,1,1.0,130.0,28.0,28.0,28.0,28.0,28.0,0.9741709183673468,0.3938232501484804,0.0,0.0,1.1607142857142858,0.8392857142857142,0.8392857142857142,01fc6cfaadf543bdb5a50b9ea32af810
2017,132,209408,3649112.2372975517,6065,360,1,1,6,6.0,1034.0,63.0,63.0,63.0,63.0,63.0,0.99190952101005,0.3973317230738505,0.0,0.0,1.08994708994709,0.91005291005291,0.91005291005291,48474a7045f94d27b916c5a894ffcd7f
2017,129,69429,745721.7470386537,2522,355,1,1,2,2.0,354.0,35.0,35.0,34.999998,34.999998,35.0,0.6226530612244898,0.3303468874284921,0.0,0.0,0.3857142857142857,0.3857142857142857,0.3857142857142857,bdd211024d7d4c569fd4c5fee6bc40c8
2017,53,62915,586058.5490621194,2608,364,1,1,2,2.0,472.0,35.0,35.0,34.999998,34.999998,35.0,0.8163265306122449,0.3639367217154837,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,e63f96db5f48412299f412b7859d787b
2017,8,2217,22504.68063254133,190,91,1,1,1,1.0,1535.0,28.0,28.0,28.0,28.0,28.0,0.20280612244897955,0.2677944763458458,0.0,0.0,0.10714285714285714,0.1071428571428571,0.1071428571428571,0e7c909e41f04bde85118a03c814f3d8
2017,8,565,6010.760659499375,63,38,1,1,1,1.0,450.0,28.0,28.0,24.317809,24.317809,24.32,0.7221253624913435,0.3471925159197288,0.0,0.0,0.4728618421052632,0.4728618421052632,0.4728618421052632,8a616b876f0a420d98cb5148cbbe28ba
2017,62,20111,87423.30812750051,781,332,1,1,1,1.0,110.0,28.0,28.0,28.0,28.0,28.0,0.9540816326530612,0.3898872372672994,0.0,0.0,1.2142857142857142,0.7857142857142858,0.7857142857142858,fc814b5f423b468da0d88d675f621e46
2017,30,60996,462098.22757005744,1107,218,1,1,2,2.0,342.0,35.0,35.0,34.999998,34.999998,35.0,0.6734693877551021,0.3388479357567876,0.0,0.0,0.42857142857142855,0.4285714285714286,0.4285714285714286,064c0f762c01465193df699263009c75
2017,49,109245,1299417.964681553,2411,362,1,1,2,2.0,747.0,35.0,35.0,34.999998,34.999998,35.0,0.9681122448979592,0.3926320321210658,0.0,0.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,6052d287b95744acbb7d655f68af1cb7
2017,29,22102,305886.8699280161,927,162,1,1,2,2.0,312.0,35.0,35.0,34.999998,34.999998,35.0,0.4587244897959183,0.30435019348615794,0.0,0.0,0.2642857142857143,0.26428571428571423,0.26428571428571423,8bff986de903463fb93474553ea5ae77
2017,52,299701,3147269.9981969944,3559,362,1,1,3,3.0,993.0,42.0,42.0,42.0,42.0,42.0,0.9948979591836736,0.3979258674986881,0.0,0.0,1.0714285714285714,0.9285714285714286,0.9285714285714286,dfb5d5ec00ae44a3992b93a3d2e700a6
2017,52,26351,251081.5992629018,741,314,1,1,1,1.0,200.0,28.0,28.0,28.0,28.0,28.0,0.859375,0.37185509386976895,0.0,0.0,1.375,0.625,0.625,f9b2be24642343318da5834776d1764f
2017,54,79415,956010.996072991,3463,282,1,1,4,4.0,753.0,49.0,49.0,48.99999725,48.99999725,49.0,0.7265136922115785,0.34795514990423443,0.0,0.0,0.4770408163265306,0.4770408163265306,0.4770408163265306,840ac229be124c9b9365787b5f606350
2017,2,104,497.38237012038815,4,2,1,1,2,2.0,332.0,35.0,35.0,34.999998,34.999998,35.0,0.0,0.24197072451914334,0.0,0.0,0.0,0.0,0.0,319135a4c3bd4a2080e6722e2764b667
2017,1,73,533.6953004339194,27,256,1,1,1,1.0,83.0,28.0,28.0,28.0,28.0,28.0,0.0,7.199280460874998e-14,0.0,0.0,8.660714285714286,0.0,0.0,466a776346534818992939463e0af535
2017,53,110126,1193871.9938066124,2574,432,1,2,3,3.0,580.0,35.0,35.0,34.999998,34.999998,35.0,0.5958673469387756,0.3259520938692066,0.0,0.0,0.3642857142857143,0.3642857142857143,0.3642857142857143,3b5b72a4089d45ceb872d6058228d56a
2017,21,11930,124909.59423259627,420,221,1,1,1,1.0,164.0,28.0,28.0,28.0,28.0,28.0,0.9971301020408164,0.3983702291136187,0.0,0.0,1.0535714285714286,0.9464285714285714,0.9464285714285714,3b64d08b810b4eab83c265ea40da6dfc
2017,43,77689,1194732.1871459729,3875,339,1,1,3,3.0,581.0,42.0,42.16666666666666,38.893156,39.05982266666667,39.06,0.5883788748859856,0.3247339342581589,0.0,0.0,0.35842293906810035,0.3584229390681004,0.3584229390681004,8914a37627634c4790b36c4fbf72062a
2017,37,43621,578716.6678912668,1547,280,1,1,2,2.0,276.0,35.0,35.0,34.999998,34.999998,35.0,0.91,0.3813878154605241,0.0,0.0,0.7,0.7,0.7,2cc8920b12c74e9abb8b2bc9c4cbd7c3
2017,52,10849,116262.19574766999,678,291,1,1,1,1.0,120.0,28.0,28.0,28.0,28.0,28.0,0.9971301020408164,0.3983702291136187,0.0,0.0,0.9464285714285714,0.9464285714285714,0.9464285714285714,69b72e981c0d45deaa68806d1913f565
2017,29,20820,300664.81523509824,144,169,1,1,1,1.0,950.0,28.0,28.0,28.0,28.0,28.0,0.9948979591836736,0.3979258674986881,0.0,0.0,1.0714285714285714,0.9285714285714286,0.9285714285714286,250c1079f778421687c386d2bef7ce29
2017,40,35780,338724.6776466476,551,302,1,1,1,1.0,401.0,28.0,28.0,28.0,28.0,28.0,0.9987244897959184,0.3986879340406525,0.0,0.0,1.0357142857142858,0.9642857142857142,0.9642857142857142,cd78af17626e488eb491521360eaab27
2017,25,9780,131326.24783964458,547,305,1,1,1,1.0,100.0,28.0,28.0,28.0,28.0,28.0,0.9681122448979592,0.3926320321210658,0.0,0.0,1.1785714285714286,0.8214285714285714,0.8214285714285714,a24094cc040c4b14b8fbd2273a7b3a6f
2017,47,27872,319047.5069129275,588,288,1,1,1,1.0,300.0,28.0,28.0,28.0,28.0,28.0,0.9614158163265306,0.3913196142962197,0.0,0.0,1.1964285714285714,0.8035714285714286,0.8035714285714286,f3b66d38c4f049e5ac84dea9025bfb0c
2017,87,106658,1198696.8459836438,1957,358,1,1,2,2.0,650.0,35.0,35.0,34.999998,34.999998,35.0,0.22811224489795925,0.27120442389392874,0.0,0.0,0.12142857142857146,0.12142857142857146,0.12142857142857146,4929a2a25ea7431ebdb01496e6838ea7
2017,81,174673,2828060.451761912,5827,362,1,1,4,4.0,771.0,49.0,49.125,48.99999725,49.12499725,49.125,0.4517219276265951,0.30328644124510057,0.0,0.0,0.2595419847328244,0.2595419847328244,0.2595419847328244,a88351a36af54e31ae42789d67a51b09
2017,71,19720,243883.1919183996,1004,287,1,1,2,2.0,358.0,42.0,42.0,42.0,42.0,42.0,0.4134385235575713,0.29753623252094324,0.0,0.0,0.2341269841269841,0.23412698412698416,0.23412698412698416,d0974787d58348a4b60c42e4115fd3a6
2017,7,2380,32675.93148383168,110,34,1,1,1,1.0,104.0,28.0,28.0,4.60274,4.60274,4.6,0.0,0.24197072451914334,0.0,0.0,0.0,0.0,0.0,61c9bf36086f4719ac30e5370b609bec
2017,30,23055,178856.96427034723,598,273,1,1,1,1.0,190.0,28.0,28.0,28.0,28.0,28.0,0.6527423469387754,0.33535441212874034,0.0,0.0,0.4107142857142857,0.4107142857142857,0.4107142857142857,d37b95fb68a64ccab0bf0dd21d3a59d8
2017,21,1189,23916.267357108292,115,87,1,1,1,1.0,111.0,28.0,28.0,28.0,28.0,28.0,0.9282525510204082,0.38488439685438797,0.0,0.0,0.7321428571428571,0.7321428571428571,0.7321428571428571,4bca40c5c21b42b99a405b3178906c16
2017,56,233018,2667957.464146701,4430,364,1,1,4,4.0,631.0,49.0,49.0,48.99999725,48.99999725,49.0,0.9885204081632653,0.3966589922014887,0.0,0.0,1.1071428571428572,0.8928571428571428,0.8928571428571428,24b65c4d20f64a53a34ca8422b9b0e23
2017,49,11889,245097.4713603586,562,197,1,1,1,1.0,84.0,28.0,28.0,28.0,28.0,28.0,0.9948979591836736,0.3979258674986881,0.0,0.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,2d46726abb954bfcb25a9f877d5554e9
2017,52,143998,804984.2629563303,3594,177,1,1,6,6.0,714.0,63.0,63.33333333333334,63.0,63.33333333333334,63.33333333333334,0.6783916204986149,0.33968290701827697,0.0,0.0,0.4328947368421053,0.4328947368421052,0.4328947368421052,1a369dc247a94bd296ec55e838c2a544
2017,40,31661,323192.1534156719,844,360,1,1,2,2.0,270.0,35.0,35.0,34.999998,34.999998,35.0,0.6138265306122449,0.3288921913122502,0.0,0.0,1.6214285714285714,0.37857142857142856,0.37857142857142856,f95d36432f354b52afd740ffeff681a1
2017,48,49778,602486.3081359924,1476,249,1,1,2,2.0,422.0,35.0,35.0,34.999998,34.999998,35.0,0.4481632653061224,0.3027472740504621,0.0,0.0,0.2571428571428571,0.2571428571428571,0.2571428571428571,65339add6d914a56b399ee421266d303
2017,49,60311,689134.8442887805,1816,356,1,1,2,2.0,303.0,35.0,35.0,34.999998,34.999998,35.0,0.6652551020408164,0.3374590929180804,0.0,0.0,0.4214285714285714,0.4214285714285715,0.4214285714285715,00c441f733fa415db2db68a0e58cd963
2017,51,11572,196047.37713228492,797,173,1,1,1,1.0,120.0,28.0,28.0,28.0,28.0,28.0,0.234375,0.2720549983785435,0.0,0.0,0.125,0.125,0.125,145e0e8d978b4f2aa3086e4d6ccb1f63
2017,34,17150,202052.49873380444,611,245,1,1,1,1.0,200.0,28.0,28.0,28.0,28.0,28.0,0.6734693877551021,0.3388479357567876,0.0,0.0,0.42857142857142855,0.4285714285714286,0.4285714285714286,bc826b99994e4c28b9d41ad35e438386
2017,19,63650,1627985.4777407632,903,208,1,1,1,1.0,347.0,28.0,28.0,28.0,28.0,28.0,0.0,0.24197072451914334,0.0,0.0,0.0,0.0,0.0,5e08c0c43c8d4afba861eec6d45a3593
2017,57,35771,571703.1611781393,763,254,1,1,1,1.0,300.0,28.0,28.0,28.0,28.0,28.0,0.5395408163265305,0.31690028116770225,0.0,0.0,0.32142857142857145,0.3214285714285714,0.3214285714285714,16d9c5ff772447a4b237643bd845172f
2017,97,41600,411137.52711135935,3070,364,1,1,2,2.0,374.0,35.0,35.0,34.999998,34.999998,35.0,0.6734693877551021,0.3388479357567876,0.0,0.0,0.42857142857142855,0.4285714285714286,0.4285714285714286,9e74bf7d98934b33843715843c218b84
2017,32,12505,97300.99746183144,392,237,1,1,1,1.0,218.0,28.0,28.0,28.0,28.0,28.0,0.859375,0.37185509386976895,0.0,0.0,0.625,0.625,0.625,0e1748e91cac4c6fad595803177befbe
2017,38,10582,111026.85284705393,919,325,1,1,1,1.0,106.0,28.0,28.0,28.0,28.0,28.0,0.6935586734693877,0.34226869363860024,0.0,0.0,0.44642857142857145,0.4464285714285714,0.4464285714285714,33dfd991b5de4dc8b7033434bf6d1b54
2017,17,1302,10208.957395628571,181,154,1,1,1,1.0,150.0,28.0,28.0,28.0,28.0,28.0,0.0,0.07111703852909346,0.0,0.0,2.8571428571428568,0.0,0.0,bcdc5e964eb8487aa4d83f839993816e
2017,35,10648,125291.11790674373,481,231,1,1,1,1.0,260.0,28.0,28.0,17.490410999999998,17.490410999999998,17.49,0.8393589933445591,0.36815212741062864,0.0,0.0,1.4008004574042312,0.5991995425957688,0.5991995425957688,46706dd4ac634c0fa757744a538e2584
2017,69,170791,2548771.8972394704,4382,362,1,1,4,4.0,720.0,49.0,49.0,48.99999725,48.99999725,49.0,0.9518690129112868,0.3894561396759072,0.0,0.0,1.2193877551020411,0.7806122448979591,0.7806122448979591,76ae9fbceabb48c1844bfaa093921814
2017,55,82589,1177299.5366952815,3842,363,1,1,3,3.0,625.0,42.0,42.0,42.0,42.0,42.0,0.9984252960443436,0.3986282960322469,0.0,0.0,1.0396825396825398,0.9603174603174602,0.9603174603174602,eb7130bfb357490cafd2e04597ce5f25
2017,39,38665,259623.81138331394,940,345,1,1,1,1.0,182.0,28.0,28.0,28.0,28.0,28.0,0.4375,0.30113743215480443,0.0,0.0,0.25,0.25,0.25,1c0794342e044f4988b6d5fa81d61c89
2017,32,53826,660958.0075486245,796,359,1,1,1,1.0,286.0,28.0,28.0,28.0,28.0,28.0,0.5395408163265305,0.31690028116770225,0.0,0.0,0.32142857142857145,0.3214285714285714,0.3214285714285714,b67f2eea96ed470f9f58eda151521c93
2017,33,30994,338706.0398254888,662,357,1,1,1,1.0,273.0,28.0,28.0,28.0,28.0,28.0,0.9375,0.3866681168028493,0.0,0.0,0.75,0.75,0.75,87f4dcca343e4e109cd2348ba0a5e746
2017,84,79934,1103181.1173135068,4123,364,1,1,4,4.0,600.0,49.0,49.0,48.99999725,48.99999725,49.0,0.9817198563098708,0.39531253264350813,0.0,0.0,0.8647959183673469,0.8647959183673469,0.8647959183673469,e0366763a4d546c48f04fba7c0c0a558
2017,37,28329,379341.06336074544,676,360,1,1,1,1.0,430.0,28.0,28.0,28.0,28.0,28.0,0.9614158163265306,0.3913196142962197,0.0,0.0,0.8035714285714286,0.8035714285714286,0.8035714285714286,60e12b358bd74bb692b110d829dbe5fb
2017,44,30821,413741.65354844695,1045,299,1,2,4,4.0,675.0,38.5,38.5,15.6205495,15.6205495,15.62,0.9425167141833658,0.3876392359633976,0.0,0.0,0.7602432778489117,0.7602432778489117,0.7602432778489117,b8940edbcbd147c7b959b69ff1650b1f
2017,55,27551,337275.1344023627,1737,310,1,1,3,3.0,401.0,42.0,42.0,42.0,42.0,42.0,0.8487654320987654,0.3698877058337353,0.0,0.0,0.6111111111111112,0.6111111111111112,0.6111111111111112,4ede2483a8fe40019e426c10817e8367
2017,26,19458,272127.5381259847,489,293,1,1,1,1.0,154.0,28.0,28.0,28.0,28.0,28.0,0.8456632653061225,0.3693144238737143,0.0,0.0,1.3928571428571428,0.6071428571428572,0.6071428571428572,33eb446ec6054b7a9353ba16737380d2
2017,26,12856,158766.52077753036,559,290,1,1,1,1.0,287.0,28.0,28.0,28.0,28.0,28.0,0.9375,0.3866681168028493,0.0,0.0,1.25,0.75,0.75,71511059e0bd4f13b90fae9344202cd1
2017,36,40545,387225.5172393813,1081,362,1,1,1,1.0,211.0,28.0,28.0,28.0,28.0,28.0,0.5634566326530611,0.3207124932416849,0.0,0.0,1.6607142857142858,0.3392857142857142,0.3392857142857142,fc8d15dfca9f41e6bc03ec127dff085c
2017,31,13017,135620.74307483816,1109,289,1,1,1,1.0,70.0,28.0,28.0,28.0,28.0,28.0,0.234375,0.2720549983785435,0.0,0.0,0.125,0.125,0.125,65c207c7bc9a4f96bf614ab51fb3c873
2017,3,775,4462.214756069235,49,48,1,1,1,1.0,100.0,28.0,28.0,28.0,28.0,28.0,0.9183673469387756,0.3829867599442122,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,9044c61e7bb14f5b8a7bd550ba8d0388
2017,53,11925,123381.75270865657,691,362,1,1,1,1.0,131.0,28.0,28.0,28.0,28.0,28.0,0.979591836734694,0.39489213993026107,0.0,0.0,1.1428571428571428,0.8571428571428572,0.8571428571428572,f232d360a5834aef8037e615e22f149a
2017,14,801,7380.917563838239,114,107,1,1,1,1.0,90.0,28.0,28.0,21.939726999999998,21.939726999999998,21.94,0.0,0.18124621015113526,0.0,0.0,2.2561531449407477,0.0,0.0,d625766b9dc24c98b4d2bc5a675f3faa
2017,33,21427,86289.33798993357,756,304,1,1,1,1.0,120.0,28.0,28.0,27.386302,27.386302,27.39,0.9455725920709624,0.3882319777694971,0.0,0.0,0.7667031763417306,0.7667031763417306,0.7667031763417306,fec2ddde688644de930648e9b26f575d
2017,26,39269,498229.0790995309,557,312,1,1,1,1.0,193.0,28.0,28.0,28.0,28.0,28.0,0.8456632653061225,0.3693144238737143,0.0,0.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,990baa5334a84f1eac8e3a134d9e7dc0
2017,50,99006,1193606.0257697373,2643,338,1,1,2,2.0,274.0,35.0,35.0,34.999998,34.999998,35.0,0.8724489795918368,0.3742938692643696,0.0,0.0,0.6428571428571429,0.6428571428571429,0.6428571428571429,3c649b5319b642b7bd089ef5750cc0a5
2017,48,100177,1076200.0308551248,1908,345,1,1,2,2.0,398.0,35.0,35.0,34.999998,34.999998,35.0,0.91,0.3813878154605241,0.0,0.0,0.7,0.7,0.7,b0a039c24caa41cd941108c80cffe9e3
2017,34,45511,653864.3587199175,817,353,1,1,1,1.0,223.0,28.0,28.0,28.0,28.0,28.0,0.0,0.24197072451914334,0.0,0.0,0.0,0.0,0.0,1b9683f1ef5449bc966bb94420bc34f4
2017,19,10785,118605.29375432586,892,292,1,1,1,1.0,143.0,28.0,28.0,28.0,28.0,28.0,0.7318239795918369,0.3488802484162101,0.0,0.0,0.4821428571428572,0.4821428571428572,0.4821428571428572,18c232d7faf8484ebe1fde1f67075034
2017,32,11257,254910.95456660027,661,230,1,1,2,2.0,200.0,35.0,35.0,34.999998,34.999998,35.0,0.18999999999999995,0.2660852498987548,0.0,0.0,0.1,0.09999999999999998,0.09999999999999998,430e5e437fe04cd7a11f4148d7ff3beb
2017,4,2496,34639.431702738475,50,14,1,1,1,1.0,200.0,35.0,35.0,22.6876705,22.6876705,22.69,0.0,0.24197072451914334,0.0,0.0,0.0,0.0,0.0,36477f80b337439d9063cf38f3f6cabd
2017,28,36350,282773.23705715756,1072,355,1,2,2,2.0,255.0,28.0,28.0,17.1068495,17.1068495,17.105,0.3673683213051838,0.2907607913956057,0.0,0.0,0.20461853259280915,0.20461853259280915,0.20461853259280915,f48e7b2c42864a978dd763b913a2aa4f
2017,110,19017,176717.00253889646,1301,313,1,1,2,2.0,296.0,35.0,35.0,34.999998,34.999998,35.0,0.0,0.18264908538902191,0.0,0.0,2.25,0.0,0.0,f2248a81eee440fb913d06e3a2b8a254
2017,39,42746,471326.8935625259,1996,300,1,1,2,2.0,350.0,35.0,35.0,34.999998,34.999998,35.0,0.18999999999999995,0.2660852498987548,0.0,0.0,0.1,0.09999999999999998,0.09999999999999998,7c9fa48b6dbd400cba9e920e28b44723
2017,47,12616,119837.9347518492,718,323,1,1,1,1.0,130.0,28.0,28.0,28.0,28.0,28.0,0.9461096938775512,0.3883362518186331,0.0,0.0,0.7678571428571429,0.7678571428571429,0.7678571428571429,5851bf8c350f4374b7bcd940b3fb24be
2017,42,46106,765983.7585984062,1020,325,1,1,1,1.0,124.0,28.0,28.0,28.0,28.0,28.0,0.41039540816326536,0.2970838582202445,0.0,0.0,0.23214285714285715,0.2321428571428572,0.2321428571428572,e2dffd805bdc4eb3851fbb9b12fe2cd2
2017,40,16557,204597.98216516816,881,323,1,1,1,1.0,222.0,28.0,28.0,28.0,28.0,28.0,0.1377551020408163,0.25922445209057304,0.0,0.0,0.07142857142857142,0.0714285714285714,0.0714285714285714,fb5367df395547e181508634988899ed
2017,56,46865,932875.7810568803,1638,315,1,1,2,2.0,211.0,35.0,35.0,34.999998,34.999998,35.0,0.91,0.3813878154605241,0.0,0.0,0.7,0.7,0.7,a9f2cf1a33e84d1ea8a7fe68cf753da1
2017,35,12331,145095.06144293334,587,355,1,1,1,1.0,205.0,28.0,28.0,28.0,28.0,28.0,0.7130102040816326,0.3456137589168997,0.0,0.0,0.4642857142857143,0.4642857142857143,0.4642857142857143,0f6b360592dd415ebf1fd201caabde7f
2017,8,4634,39897.40610645552,133,71,1,2,2,2.0,319.0,28.0,28.0,6.213699,6.213699,6.21,0.0,0.24197072451914334,0.0,0.0,0.0,0.0,0.0,f48fbe67c60a4289b46e57404b3924ef
2017,26,7968,171766.3693463338,239,193,1,1,1,1.0,197.0,28.0,28.0,28.0,28.0,28.0,0.9948979591836736,0.3979258674986881,0.0,0.0,1.0714285714285714,0.9285714285714286,0.9285714285714286,fbee847fe4bb40d3be8d47e754e8d06e
2017,81,88290,1329357.2939742412,4174,361,1,1,4,4.0,468.0,49.0,49.0,48.99999725,48.99999725,49.0,0.7102704602249064,0.3451406364630739,0.0,0.0,0.46173469387755106,0.4617346938775511,0.4617346938775511,08d4c402339e4be8818eb1637e60aeee
2017,4,307,2809.129125158192,18,3,1,1,2,2.0,257.0,42.0,42.0,42.0,42.0,42.0,0.0,0.24197072451914334,0.0,0.0,0.0,0.0,0.0,acd87936087a477f91c7e7f1b0544396
2017,41,52065,480258.21470853686,682,297,1,1,1,1.0,200.0,28.0,28.0,28.0,28.0,28.0,0.3826530612244898,0.29299140566623194,0.0,0.0,0.21428571428571427,0.2142857142857143,0.2142857142857143,ad77117c344943c3a71eb790cc3c5359
2017,8,1438,14743.265333046234,108,76,1,1,1,1.0,80.0,28.0,28.0,28.0,28.0,28.0,0.9375,0.3866681168028493,0.0,0.0,0.75,0.75,0.75,3e058a6bfce9460d8523da518b57b4c5
